BUB2-TEM1,CDC14-CDH1,CDC14-NET1,CDC14-SIC1,CDC14-SWI5,CDC15-TEM1,CDC20-CDH1,CDC20-CLB6,CDC20-PDS1,CDC28-CDC6,CDC28-CLB1,CDC28-CLB6,CDC28-CLN1,CDC28-CLN3,CDC6-CLB6,CDH1-CLB1,CLB1-SIC1,CLB1-SWI5,CDC28-SWI5,CLB6-MBP1,CLB6-SIC1,CLB6-SWI6,CDC28-SWI6,CLN1-SIC1,CDC28-SIC1,CLN1-SWI4,CLN1-SWI6,CLN3-MCM1,CLN3-SWI6,ESP1-PDS1,LTE1-TEM1,MBP1-SWI6,SIC1-SWI5,SWI4-SWI6
0.05108189570039639,9.000164859732026e-05,0.8864221749722195,0.00010741920778314347,0.01598138472023818,0.00036137946976839513,8.174516242158356e-05,0.04046591515769115,0.031336812775279874,0.009886866643177398,0.45405917544381863,0.9484992772547292,0.5395084422480196,0.8699786842044198,0.009886866643177398,0.005640030738326651,0.05312025154634002,0.34551754482055624,0.34551754482055624,0.005735150682754986,0.049351703123750985,0.005735150682754986,0.006198601000817244,0.0016928618570374457,0.0016928618570374457,0.003228008983367248,0.003228008983367248,0.8711806288282815,0.006198601000817244,0.8655299538948824,0.0010216379140079279,0.005857120867954093,0.0013239637691179111,0.005857120867954093
0.05108189570039639,9.003996681565891e-05,0.886473230027762,0.0001059799631471725,0.016845444821480565,0.00036137940801734154,8.672646245614958e-05,0.042570546588789414,0.034726813453898275,0.009119213900048813,0.5036145891709614,0.9409105426640079,0.4791695109006769,0.8749231923667766,0.009119213900048813,0.0062581844486264025,0.05782003835763455,0.40394311352574275,0.40394311352574275,0.004570197724795844,0.04787835345291237,0.004570197724795844,0.005007648368421055,0.0014833732750971615,0.0014833732750971615,0.0023030559712228626,0.0023030559712228626,0.8790284601005881,0.005007648368421055,0.8661551567927536,0.0010216379140079279,0.004705036672012828,0.0013768237747749,0.004705036672012828
0.05108189570039639,8.985613817900245e-05,0.8865266202699359,0.00010379450217065904,0.017577524341992338,0.00036137937714181474,9.128302377189567e-05,0.04457617375644802,0.03818097499496792,0.008313561307841614,0.5544139933981552,0.9340854134943641,0.4255341566220463,0.8798856199017011,0.008313561307841614,0.006874914790225084,0.06140275861453524,0.4639828952342245,0.4639828952342245,0.0037468275697396364,0.04570342978430685,0.0037468275697396364,0.004158920115811398,0.0012900808904875596,0.0012900808904875596,0.0016890410462546861,0.0016890410462546861,0.8863493256226351,0.004158920115811398,0.8667795935552142,0.0010216379140079279,0.0038855587025241746,0.0014068425035118793,0.0038855587025241746
0.05108189570039639,8.947842552632e-05,0.8865820130733749,0.00010104841324766078,0.018185866343993957,0.00036137937714181474,9.557348107330787e-05,0.04656160065016537,0.04175522094468475,0.00750704696964797,0.6064372822653835,0.9278604704983843,0.3778767765390931,0.8848659668091932,0.00750704696964797,0.007487509470250417,0.06385765732864272,0.525022285783603,0.525022285783603,0.0031400214006797058,0.043035957050652905,0.0031400214006797058,0.0035286181896863416,0.0011151560325370238,0.0011151560325370238,0.0012654028207655865,0.0012654028207655865,0.893288541787673,0.0035286181896863416,0.8673999784118973,0.0010216379140079279,0.003278130909433154,0.0014166822699122805,0.003278130909433154
0.05108189570039639,8.8937121621988e-05,0.8866394454154235,9.789290527203582e-05,0.01867917449742617,0.00036137940801734154,9.973888518332944e-05,0.04859007738290976,0.04550507302874782,0.006727279002768973,0.659619616477215,0.9220768427495355,0.33554280028605027,0.8898641505114989,0.006727279002768973,0.008093510096502545,0.06524896977313667,0.5864570543592584,0.5864570543592584,0.002678449015583623,0.04006671449740445,0.002678449015583623,0.00304591108430817,0.0009591404397724607,0.0009591404397724607,0.0009644791745506877,0.0009644791745506877,0.8999428486684572,0.00304591108430817,0.8679697895695513,0.0010216379140079279,0.002813796120279962,0.0014091982870290034,0.002813796120279962
0.05108189570039639,8.826227653117166e-05,0.8866987405958268,9.446781884259508e-05,0.019066445642932056,0.00036137946976839513,0.00010390761593162549,0.0507152538431071,0.04948764986670528,0.005993320121092664,0.7138677435406419,0.9165911834024125,0.297944988464587,0.8948802535863725,0.005993320121092664,0.008690835445481753,0.06568986957545535,0.6477103458131505,0.6477103458131505,0.002318487690973378,0.03695805011671567,0.002318487690973378,0.002667296442461054,0.0008216964221251825,0.0008216964221251825,0.0007457510355189313,0.0007457510355189313,0.9063796469198773,0.002667296442461054,0.8685584828587316,0.0010216379140079279,0.002450222235642055,0.001387501826396268,0.002450222235642055
0.05108189570039639,8.748167544666127e-05,0.8867598268774565,9.08684115321328e-05,0.019356818877719482,0.00036137951608168536,0.00010819293562085759,0.052982512413950744,0.0537603829877507,0.0053169820980380035,0.7690682840714057,0.9112787446138966,0.26455832881414204,0.8999138631450448,0.0053169820980380035,0.009277731813696677,0.06532133758548953,0.7082448107546958,0.7082448107546958,0.002032014480564152,0.03383779728863689,0.002032014480564152,0.002364578528793745,0.0007016442573815506,0.0007016442573815506,0.0005837483387565073,0.0005837483387565073,0.9126472591813175,0.002364578528793745,0.8690934268677614,0.0010216379140079279,0.0021599908709446455,0.0013542823328066384,0.0021599908709446455
0.05108189570039639,8.662098987539198e-05,0.8868226316669896,8.720009979584274e-05,0.019559446145145983,0.0003613796087082658,0.00011269851035221924,0.05543256713280008,0.05838282602247647,0.004703316828434345,0.8251012408568461,0.9060368368294581,0.23491447758555506,0.9049652269207771,0.004703316828434345,0.009852934493026119,0.06429245351719269,0.7675800849352382,0.7675800849352382,0.00180011925902097,0.03080102001599515,0.00180011925902097,0.0021186760469838113,0.0005977020661536678,0.0005977020661536678,0.00046184246998698093,0.00046184246998698093,0.9187820659493836,0.0021186760469838113,0.869690820011684,0.0010216379140079279,0.001924561443168097,0.001312461610917269,0.001924561443168097
0.05108189570039639,8.570126951453295e-05,0.8868869660792705,8.35021511894375e-05,0.019683368948441013,0.0003613797167726097,0.00011751272258444887,0.05810050571536441,0.0634141632702245,0.004153250644300042,0.8818396553457402,0.9007804512912309,0.2085961166930856,0.9100342623358157,0.004153250644300042,0.010415326025347534,0.06274862228809074,0.8252959979612292,0.8252959979612292,0.0016096587249464186,0.027910907761895098,0.0016096587249464186,0.0019162397315088072,0.0005080689469364725,0.0005080689469364725,0.0003688499558127919,0.0003688499558127919,0.9248113213150105,0.0019162397315088072,0.870209396500801,0.0010216379140079279,0.001730976664374231,0.001263955325059753,0.001730976664374231
0.3635761637692907,8.761737212331461e-05,0.8935173058907416,8.22716972744993e-05,0.02023735179305876,0.05111731698667579,0.0005259777277991489,0.2588081319590231,0.29130770192514227,0.0036672985317694248,0.9370495898278368,0.8932521260891065,0.18555728219217402,0.9151256763221255,0.0036672985317694248,0.011027711250186945,0.06086015155988583,0.8787665883909852,0.8787665883909852,0.0014510531866945902,0.025231384074405273,0.0014510531866945902,0.0017517303527316438,0.0004339941016600043,0.0004339941016600043,0.00029827436981901966,0.00029827436981901966,0.9307345139389653,0.0017517303527316438,0.8913517964648626,0.3635761637692907,0.001573568417483715,0.0012162195004836842,0.001573568417483715
