time,n_A+p,n_B,n_AB
1,0.333,0.333,0.333
2,0.333,0.333,0.333
3,0.333,0.333,0.333
4,0.333,0.333,0.333
5,0.333,0.000,0.667
6,0.667,0.000,0.333
7,0.667,0.000,0.333
8,0.667,0.000,0.333
9,0.833,0.000,0.167
10,0.833,0.000,0.167
11,0.833,0.000,0.167
12,1.000,0.000,0.000
