time,n_A+p,n_B,n_AB
100,0.080,0.896,0.024
200,0.080,0.860,0.060
300,0.086,0.824,0.090
400,0.086,0.784,0.130
500,0.082,0.750,0.168
600,0.088,0.712,0.200
700,0.090,0.678,0.232
800,0.102,0.642,0.256
900,0.106,0.590,0.304
1000,0.114,0.570,0.316
1100,0.140,0.526,0.334
1200,0.118,0.486,0.396
1300,0.120,0.492,0.388
1400,0.134,0.432,0.434
1500,0.156,0.366,0.478
1600,0.172,0.314,0.514
1700,0.226,0.292,0.482
1800,0.230,0.256,0.514
1900,0.230,0.238,0.532
2000,0.238,0.208,0.554
2100,0.270,0.192,0.538
2200,0.266,0.168,0.566
2300,0.284,0.142,0.574
2400,0.306,0.124,0.570
2500,0.278,0.136,0.586
2600,0.268,0.144,0.588
2700,0.286,0.146,0.568
2800,0.276,0.162,0.562
2900,0.290,0.182,0.528
3000,0.280,0.162,0.558
3100,0.280,0.146,0.574
3200,0.324,0.134,0.542
3300,0.328,0.114,0.558
3400,0.332,0.110,0.558
3500,0.362,0.126,0.512
3600,0.344,0.126,0.530
3700,0.340,0.174,0.486
3800,0.338,0.174,0.488
3900,0.334,0.146,0.520
4000,0.332,0.162,0.506
4100,0.350,0.152,0.498
4200,0.348,0.174,0.478
4300,0.348,0.148,0.504
4400,0.352,0.146,0.502
4500,0.348,0.146,0.506
4600,0.342,0.150,0.508
4700,0.316,0.142,0.542
4800,0.298,0.162,0.540
4900,0.326,0.160,0.514
5000,0.326,0.152,0.522
5100,0.334,0.150,0.516
5200,0.328,0.164,0.508
5300,0.320,0.168,0.512
5400,0.316,0.174,0.510
5500,0.330,0.158,0.512
5600,0.300,0.162,0.538
5700,0.302,0.164,0.534
5800,0.290,0.164,0.546
5900,0.290,0.184,0.526
6000,0.282,0.166,0.552
6100,0.272,0.168,0.560
6200,0.270,0.176,0.554
6300,0.284,0.190,0.526
6400,0.304,0.172,0.524
6500,0.306,0.156,0.538
6600,0.322,0.156,0.522
6700,0.330,0.160,0.510
6800,0.328,0.150,0.522
6900,0.328,0.164,0.508
7000,0.304,0.152,0.544
7100,0.314,0.146,0.540
7200,0.324,0.154,0.522
7300,0.320,0.118,0.562
7400,0.318,0.128,0.554
7500,0.326,0.110,0.564
7600,0.316,0.128,0.556
7700,0.308,0.158,0.534
7800,0.338,0.160,0.502
7900,0.332,0.174,0.494
8000,0.340,0.160,0.500
8100,0.354,0.126,0.520
8200,0.346,0.126,0.528
8300,0.350,0.116,0.534
8400,0.320,0.160,0.520
8500,0.316,0.162,0.522
8600,0.300,0.164,0.536
8700,0.278,0.152,0.570
8800,0.278,0.174,0.548
8900,0.278,0.160,0.562
9000,0.294,0.198,0.508
9100,0.288,0.190,0.522
9200,0.278,0.184,0.538
9300,0.294,0.172,0.534
9400,0.288,0.164,0.548
9500,0.308,0.176,0.516
9600,0.300,0.170,0.530
9700,0.278,0.192,0.530
9800,0.278,0.174,0.548
9900,0.292,0.180,0.528
10000,0.288,0.154,0.558
10100,0.286,0.150,0.564
10200,0.300,0.154,0.546
10300,0.310,0.152,0.538
10400,0.280,0.148,0.572
10500,0.254,0.138,0.608
10600,0.296,0.126,0.578
10700,0.296,0.108,0.596
10800,0.288,0.114,0.598
10900,0.278,0.108,0.614
11000,0.284,0.122,0.594
11100,0.294,0.110,0.596
11200,0.282,0.110,0.608
11300,0.294,0.130,0.576
11400,0.286,0.140,0.574
11500,0.296,0.134,0.570
11600,0.312,0.144,0.544
11700,0.338,0.138,0.524
11800,0.342,0.128,0.530
11900,0.330,0.114,0.556
12000,0.320,0.116,0.564
12100,0.342,0.114,0.544
12200,0.348,0.134,0.518
12300,0.336,0.132,0.532
12400,0.310,0.114,0.576
12500,0.332,0.104,0.564
12600,0.320,0.112,0.568
12700,0.332,0.118,0.550
12800,0.324,0.140,0.536
12900,0.366,0.142,0.492
13000,0.364,0.132,0.504
13100,0.364,0.130,0.506
13200,0.362,0.134,0.504
13300,0.348,0.142,0.510
13400,0.342,0.128,0.530
13500,0.382,0.132,0.486
13600,0.394,0.140,0.466
13700,0.390,0.132,0.478
13800,0.410,0.110,0.480
13900,0.402,0.084,0.514
14000,0.388,0.100,0.512
14100,0.380,0.096,0.524
14200,0.378,0.082,0.540
14300,0.360,0.096,0.544
14400,0.348,0.112,0.540
14500,0.338,0.114,0.548
14600,0.328,0.120,0.552
14700,0.348,0.138,0.514
14800,0.350,0.126,0.524
14900,0.328,0.096,0.576
15000,0.352,0.080,0.568
15100,0.336,0.102,0.562
15200,0.350,0.112,0.538
15300,0.352,0.096,0.552
15400,0.354,0.118,0.528
15500,0.354,0.110,0.536
15600,0.386,0.100,0.514
15700,0.360,0.080,0.560
15800,0.334,0.132,0.534
15900,0.334,0.118,0.548
16000,0.328,0.116,0.556
16100,0.334,0.108,0.558
16200,0.330,0.128,0.542
16300,0.340,0.124,0.536
16400,0.350,0.112,0.538
16500,0.356,0.110,0.534
16600,0.384,0.128,0.488
16700,0.356,0.120,0.524
16800,0.352,0.116,0.532
16900,0.354,0.112,0.534
17000,0.356,0.096,0.548
17100,0.358,0.118,0.524
17200,0.340,0.122,0.538
17300,0.358,0.094,0.548
17400,0.396,0.098,0.506
17500,0.414,0.128,0.458
17600,0.386,0.136,0.478
17700,0.348,0.132,0.520
17800,0.338,0.126,0.536
17900,0.356,0.106,0.538
18000,0.350,0.122,0.528
18100,0.354,0.116,0.530
