time,n_A+p,n_B,n_AB
18200,0.334,0.138,0.528
18300,0.360,0.134,0.506
18400,0.368,0.126,0.506
18500,0.364,0.116,0.520
18600,0.372,0.130,0.498
18700,0.386,0.110,0.504
18800,0.376,0.106,0.518
18900,0.392,0.122,0.486
19000,0.382,0.124,0.494
19100,0.388,0.130,0.482
19200,0.378,0.144,0.478
19300,0.384,0.132,0.484
19400,0.356,0.140,0.504
19500,0.374,0.124,0.502
19600,0.372,0.106,0.522
19700,0.384,0.112,0.504
19800,0.376,0.106,0.518
19900,0.400,0.084,0.516
20000,0.366,0.078,0.556
20100,0.358,0.090,0.552
20200,0.392,0.084,0.524
20300,0.388,0.098,0.514
20400,0.370,0.096,0.534
20500,0.378,0.096,0.526
20600,0.390,0.104,0.506
20700,0.398,0.110,0.492
20800,0.382,0.100,0.518
20900,0.392,0.096,0.512
21000,0.400,0.124,0.476
21100,0.374,0.106,0.520
21200,0.370,0.098,0.532
21300,0.358,0.094,0.548
21400,0.382,0.088,0.530
21500,0.382,0.102,0.516
21600,0.396,0.096,0.508
21700,0.400,0.098,0.502
21800,0.412,0.084,0.504
21900,0.438,0.088,0.474
22000,0.430,0.094,0.476
22100,0.422,0.098,0.480
22200,0.416,0.094,0.490
22300,0.394,0.124,0.482
22400,0.410,0.120,0.470
22500,0.374,0.102,0.524
22600,0.386,0.086,0.528
22700,0.386,0.102,0.512
22800,0.398,0.100,0.502
22900,0.382,0.098,0.520
23000,0.352,0.104,0.544
23100,0.352,0.090,0.558
23200,0.356,0.078,0.566
23300,0.348,0.102,0.550
23400,0.348,0.086,0.566
23500,0.352,0.102,0.546
23600,0.358,0.092,0.550
23700,0.362,0.080,0.558
23800,0.374,0.066,0.560
23900,0.382,0.050,0.568
24000,0.400,0.050,0.550
24100,0.378,0.064,0.558
24200,0.388,0.054,0.558
24300,0.374,0.068,0.558
24400,0.368,0.066,0.566
24500,0.356,0.078,0.566
24600,0.362,0.070,0.568
24700,0.338,0.092,0.570
24800,0.344,0.114,0.542
24900,0.378,0.108,0.514
25000,0.398,0.094,0.508
25100,0.378,0.092,0.530
25200,0.368,0.078,0.554
25300,0.386,0.090,0.524
25400,0.372,0.094,0.534
25500,0.368,0.098,0.534
25600,0.374,0.138,0.488
25700,0.350,0.140,0.510
25800,0.354,0.136,0.510
25900,0.352,0.138,0.510
26000,0.334,0.126,0.540
26100,0.338,0.160,0.502
26200,0.336,0.172,0.492
26300,0.314,0.176,0.510
26400,0.298,0.188,0.514
26500,0.292,0.168,0.540
26600,0.270,0.152,0.578
26700,0.294,0.166,0.540
26800,0.272,0.168,0.560
26900,0.280,0.154,0.566
27000,0.298,0.146,0.556
27100,0.298,0.142,0.560
27200,0.302,0.124,0.574
27300,0.320,0.130,0.550
27400,0.352,0.124,0.524
27500,0.354,0.120,0.526
27600,0.350,0.120,0.530
27700,0.352,0.114,0.534
27800,0.342,0.122,0.536
27900,0.360,0.142,0.498
28000,0.356,0.168,0.476
28100,0.362,0.160,0.478
28200,0.374,0.148,0.478
28300,0.370,0.144,0.486
28400,0.374,0.146,0.480
28500,0.362,0.138,0.500
28600,0.322,0.124,0.554
28700,0.326,0.136,0.538
28800,0.310,0.144,0.546
28900,0.336,0.128,0.536
29000,0.326,0.114,0.560
29100,0.328,0.124,0.548
29200,0.336,0.152,0.512
29300,0.338,0.136,0.526
29400,0.332,0.136,0.532
29500,0.318,0.146,0.536
29600,0.290,0.168,0.542
29700,0.290,0.178,0.532
29800,0.306,0.146,0.548
29900,0.290,0.152,0.558
30000,0.326,0.138,0.536
30100,0.328,0.146,0.526
30200,0.324,0.152,0.524
30300,0.316,0.158,0.526
30400,0.308,0.136,0.556
30500,0.296,0.150,0.554
30600,0.324,0.120,0.556
30700,0.312,0.120,0.568
30800,0.336,0.118,0.546
30900,0.368,0.110,0.522
31000,0.366,0.120,0.514
31100,0.348,0.130,0.522
31200,0.360,0.122,0.518
31300,0.344,0.116,0.540
31400,0.326,0.140,0.534
31500,0.302,0.120,0.578
31600,0.320,0.114,0.566
31700,0.332,0.130,0.538
31800,0.338,0.138,0.524
31900,0.338,0.112,0.550
32000,0.334,0.128,0.538
32100,0.340,0.116,0.544
32200,0.316,0.132,0.552
32300,0.298,0.142,0.560
32400,0.278,0.146,0.576
32500,0.280,0.150,0.570
32600,0.270,0.150,0.580
32700,0.290,0.150,0.560
32800,0.280,0.160,0.560
32900,0.324,0.146,0.530
33000,0.314,0.144,0.542
33100,0.278,0.154,0.568
33200,0.316,0.148,0.536
33300,0.342,0.154,0.504
33400,0.348,0.138,0.514
33500,0.344,0.124,0.532
33600,0.346,0.128,0.526
33700,0.336,0.124,0.540
33800,0.352,0.108,0.540
33900,0.356,0.092,0.552
34000,0.338,0.088,0.574
34100,0.346,0.118,0.536
34200,0.328,0.128,0.544
34300,0.346,0.132,0.522
34400,0.366,0.104,0.530
34500,0.380,0.106,0.514
34600,0.380,0.088,0.532
34700,0.358,0.124,0.518
34800,0.352,0.120,0.528
34900,0.350,0.114,0.536
35000,0.350,0.110,0.540
35100,0.356,0.138,0.506
35200,0.352,0.116,0.532
35300,0.350,0.102,0.548
35400,0.360,0.098,0.542
35500,0.350,0.134,0.516
35600,0.350,0.154,0.496
35700,0.346,0.152,0.502
35800,0.332,0.148,0.520
35900,0.338,0.142,0.520
36000,0.340,0.128,0.532
36100,0.370,0.152,0.478
36200,0.382,0.134,0.484
36300,0.386,0.152,0.462
36400,0.356,0.160,0.484
36500,0.362,0.170,0.468
36600,0.350,0.184,0.466
36700,0.350,0.178,0.472
36800,0.342,0.164,0.494
36900,0.332,0.158,0.510
37000,0.350,0.154,0.496
37100,0.354,0.162,0.484
37200,0.364,0.152,0.484
37300,0.364,0.130,0.506
37400,0.362,0.130,0.508
37500,0.378,0.118,0.504
37600,0.384,0.102,0.514
37700,0.378,0.094,0.528
37800,0.388,0.114,0.498
37900,0.386,0.108,0.506
38000,0.374,0.110,0.516
38100,0.374,0.118,0.508
38200,0.364,0.114,0.522
38300,0.358,0.106,0.536
38400,0.352,0.124,0.524
38500,0.372,0.152,0.476
38600,0.392,0.174,0.434
38700,0.370,0.176,0.454
38800,0.340,0.186,0.474
38900,0.358,0.164,0.478
39000,0.340,0.154,0.506
39100,0.328,0.152,0.520
39200,0.294,0.148,0.558
39300,0.292,0.140,0.568
39400,0.326,0.138,0.536
39500,0.324,0.144,0.532
39600,0.310,0.128,0.562
39700,0.334,0.114,0.552
39800,0.326,0.110,0.564
39900,0.348,0.112,0.540
40000,0.346,0.104,0.550
40100,0.346,0.118,0.536
40200,0.362,0.092,0.546
40300,0.384,0.104,0.512
40400,0.382,0.110,0.508
40500,0.358,0.142,0.500
40600,0.352,0.120,0.528
40700,0.390,0.120,0.490
40800,0.360,0.114,0.526
40900,0.364,0.128,0.508
41000,0.366,0.122,0.512
41100,0.360,0.134,0.506
41200,0.350,0.134,0.516
41300,0.348,0.134,0.518
41400,0.330,0.150,0.520
41500,0.326,0.170,0.504
41600,0.334,0.168,0.498
41700,0.316,0.144,0.540
41800,0.312,0.136,0.552
41900,0.284,0.108,0.608
42000,0.294,0.102,0.604
42100,0.300,0.102,0.598
42200,0.294,0.122,0.584
42300,0.328,0.126,0.546
42400,0.316,0.122,0.562
42500,0.336,0.112,0.552
42600,0.334,0.110,0.556
42700,0.312,0.114,0.574
42800,0.336,0.108,0.556
42900,0.338,0.146,0.516
43000,0.344,0.150,0.506
43100,0.318,0.156,0.526
43200,0.334,0.134,0.532
43300,0.354,0.116,0.530
43400,0.362,0.132,0.506
43500,0.340,0.132,0.528
43600,0.342,0.130,0.528
43700,0.338,0.118,0.544
43800,0.354,0.124,0.522
43900,0.364,0.128,0.508
44000,0.348,0.118,0.534
44100,0.332,0.126,0.542
44200,0.336,0.132,0.532
44300,0.352,0.140,0.508
44400,0.362,0.144,0.494
44500,0.338,0.154,0.508
44600,0.334,0.136,0.530
44700,0.342,0.150,0.508
44800,0.338,0.130,0.532
44900,0.358,0.116,0.526
45000,0.360,0.104,0.536
45100,0.380,0.124,0.496
45200,0.388,0.122,0.490
45300,0.376,0.124,0.500
45400,0.364,0.124,0.512
45500,0.390,0.120,0.490
45600,0.400,0.110,0.490
45700,0.366,0.106,0.528
45800,0.366,0.124,0.510
45900,0.344,0.128,0.528
46000,0.336,0.110,0.554
46100,0.344,0.120,0.536
46200,0.326,0.124,0.550
46300,0.336,0.130,0.534
46400,0.356,0.120,0.524
46500,0.352,0.130,0.518
46600,0.356,0.144,0.500
46700,0.380,0.136,0.484
46800,0.388,0.120,0.492
46900,0.382,0.118,0.500
47000,0.364,0.120,0.516
47100,0.386,0.104,0.510
47200,0.374,0.114,0.512
47300,0.396,0.098,0.506
47400,0.362,0.118,0.520
47500,0.364,0.104,0.532
47600,0.344,0.112,0.544
47700,0.368,0.114,0.518
47800,0.364,0.108,0.528
47900,0.358,0.120,0.522
48000,0.338,0.106,0.556
48100,0.328,0.112,0.560
48200,0.334,0.090,0.576
48300,0.330,0.092,0.578
48400,0.304,0.098,0.598
48500,0.300,0.098,0.602
48600,0.312,0.120,0.568
48700,0.310,0.112,0.578
48800,0.304,0.104,0.592
48900,0.330,0.098,0.572
49000,0.332,0.122,0.546
49100,0.344,0.082,0.574
49200,0.324,0.112,0.564
49300,0.306,0.122,0.572
49400,0.286,0.132,0.582
49500,0.284,0.124,0.592
49600,0.278,0.158,0.564
49700,0.278,0.156,0.566
49800,0.296,0.132,0.572
49900,0.310,0.120,0.570
50000,0.316,0.124,0.560
50100,0.352,0.106,0.542
50200,0.342,0.130,0.528
50300,0.350,0.138,0.512
50400,0.356,0.164,0.480
50500,0.358,0.150,0.492
50600,0.378,0.130,0.492
50700,0.410,0.114,0.476
50800,0.416,0.108,0.476
50900,0.400,0.122,0.478
51000,0.368,0.108,0.524
51100,0.360,0.112,0.528
51200,0.376,0.106,0.518
51300,0.398,0.108,0.494
51400,0.410,0.092,0.498
51500,0.402,0.094,0.504
51600,0.404,0.110,0.486
51700,0.388,0.106,0.506
51800,0.384,0.114,0.502
51900,0.372,0.132,0.496
52000,0.364,0.140,0.496
52100,0.362,0.140,0.498
52200,0.342,0.132,0.526
52300,0.360,0.148,0.492
52400,0.368,0.128,0.504
52500,0.366,0.146,0.488
52600,0.340,0.134,0.526
52700,0.330,0.126,0.544
52800,0.332,0.160,0.508
52900,0.320,0.154,0.526
53000,0.328,0.170,0.502
53100,0.312,0.184,0.504
53200,0.306,0.174,0.520
53300,0.292,0.150,0.558
53400,0.312,0.146,0.542
53500,0.332,0.156,0.512
53600,0.312,0.138,0.550
53700,0.326,0.136,0.538
53800,0.346,0.134,0.520
53900,0.354,0.146,0.500
54000,0.346,0.138,0.516
54100,0.346,0.140,0.514
54200,0.326,0.130,0.544
54300,0.352,0.104,0.544
54400,0.348,0.092,0.560
54500,0.350,0.102,0.548
54600,0.354,0.130,0.516
54700,0.320,0.144,0.536
54800,0.334,0.142,0.524
54900,0.326,0.144,0.530
55000,0.320,0.140,0.540
55100,0.334,0.146,0.520
55200,0.320,0.166,0.514
55300,0.326,0.166,0.508
55400,0.304,0.166,0.530
55500,0.304,0.172,0.524
55600,0.312,0.176,0.512
55700,0.340,0.200,0.460
55800,0.332,0.184,0.484
55900,0.324,0.176,0.500
56000,0.320,0.178,0.502
56100,0.338,0.140,0.522
56200,0.330,0.134,0.536
56300,0.302,0.142,0.556
56400,0.302,0.134,0.564
56500,0.306,0.138,0.556
56600,0.298,0.144,0.558
56700,0.320,0.128,0.552
56800,0.316,0.142,0.542
56900,0.306,0.126,0.568
57000,0.342,0.132,0.526
57100,0.354,0.138,0.508
57200,0.376,0.120,0.504
57300,0.378,0.098,0.524
57400,0.382,0.108,0.510
57500,0.366,0.150,0.484
57600,0.346,0.136,0.518
57700,0.328,0.132,0.540
57800,0.318,0.156,0.526
57900,0.310,0.142,0.548
58000,0.312,0.154,0.534
58100,0.320,0.168,0.512
58200,0.338,0.146,0.516
58300,0.346,0.152,0.502
58400,0.352,0.134,0.514
58500,0.380,0.132,0.488
58600,0.360,0.134,0.506
58700,0.366,0.138,0.496
58800,0.344,0.146,0.510
58900,0.354,0.148,0.498
59000,0.344,0.154,0.502
59100,0.326,0.128,0.546
59200,0.330,0.118,0.552
59300,0.326,0.130,0.544
59400,0.346,0.140,0.514
59500,0.314,0.128,0.558
59600,0.308,0.124,0.568
59700,0.316,0.128,0.556
59800,0.314,0.152,0.534
59900,0.320,0.150,0.530
60000,0.306,0.128,0.566
60100,0.322,0.112,0.566
60200,0.326,0.124,0.550
60300,0.324,0.138,0.538
60400,0.314,0.130,0.556
60500,0.298,0.142,0.560
60600,0.296,0.138,0.566
60700,0.314,0.136,0.550
60800,0.310,0.138,0.552
60900,0.296,0.132,0.572
61000,0.302,0.130,0.568
61100,0.318,0.120,0.562
61200,0.324,0.144,0.532
61300,0.322,0.154,0.524
61400,0.330,0.142,0.528
61500,0.328,0.134,0.538
61600,0.330,0.138,0.532
61700,0.314,0.138,0.548
61800,0.282,0.136,0.582
61900,0.328,0.148,0.524
62000,0.340,0.140,0.520
62100,0.358,0.116,0.526
62200,0.364,0.116,0.520
62300,0.394,0.124,0.482
62400,0.402,0.126,0.472
62500,0.386,0.154,0.460
62600,0.384,0.150,0.466
62700,0.364,0.144,0.492
62800,0.348,0.118,0.534
62900,0.358,0.106,0.536
63000,0.360,0.102,0.538
63100,0.366,0.108,0.526
63200,0.384,0.104,0.512
63300,0.410,0.108,0.482
63400,0.400,0.128,0.472
63500,0.388,0.144,0.468
63600,0.376,0.148,0.476
63700,0.380,0.150,0.470
63800,0.370,0.124,0.506
63900,0.376,0.130,0.494
64000,0.376,0.110,0.514
64100,0.352,0.112,0.536
64200,0.368,0.106,0.526
64300,0.352,0.122,0.526
64400,0.364,0.126,0.510
64500,0.338,0.110,0.552
64600,0.366,0.106,0.528
64700,0.382,0.114,0.504
64800,0.372,0.132,0.496
64900,0.386,0.124,0.490
65000,0.378,0.116,0.506
65100,0.348,0.122,0.530
65200,0.324,0.132,0.544
65300,0.336,0.142,0.522
65400,0.332,0.142,0.526
65500,0.310,0.156,0.534
65600,0.316,0.142,0.542
65700,0.310,0.126,0.564
65800,0.334,0.130,0.536
65900,0.324,0.150,0.526
66000,0.310,0.138,0.552
66100,0.336,0.148,0.516
66200,0.344,0.138,0.518
66300,0.358,0.116,0.526
66400,0.380,0.138,0.482
66500,0.372,0.140,0.488
66600,0.356,0.134,0.510
66700,0.356,0.130,0.514
66800,0.398,0.122,0.480
66900,0.422,0.100,0.478
67000,0.424,0.108,0.468
67100,0.430,0.092,0.478
67200,0.412,0.100,0.488
67300,0.382,0.112,0.506
67400,0.398,0.082,0.520
67500,0.388,0.070,0.542
67600,0.410,0.084,0.506
67700,0.412,0.094,0.494
67800,0.406,0.090,0.504
67900,0.400,0.082,0.518
68000,0.418,0.086,0.496
68100,0.422,0.080,0.498
68200,0.404,0.082,0.514
68300,0.404,0.104,0.492
68400,0.410,0.116,0.474
68500,0.404,0.104,0.492
68600,0.414,0.112,0.474
68700,0.418,0.108,0.474
68800,0.432,0.112,0.456
68900,0.394,0.120,0.486
69000,0.386,0.104,0.510
69100,0.350,0.116,0.534
69200,0.328,0.116,0.556
69300,0.328,0.130,0.542
69400,0.316,0.124,0.560
69500,0.292,0.152,0.556
69600,0.334,0.164,0.502
69700,0.314,0.152,0.534
69800,0.296,0.154,0.550
69900,0.292,0.150,0.558
70000,0.282,0.186,0.532
70100,0.308,0.188,0.504
70200,0.306,0.180,0.514
70300,0.332,0.178,0.490
70400,0.372,0.142,0.486
70500,0.378,0.124,0.498
70600,0.370,0.136,0.494
70700,0.350,0.144,0.506
70800,0.356,0.114,0.530
70900,0.376,0.108,0.516
71000,0.404,0.090,0.506
71100,0.368,0.100,0.532
71200,0.368,0.072,0.560
71300,0.360,0.094,0.546
71400,0.342,0.110,0.548
71500,0.364,0.120,0.516
71600,0.346,0.118,0.536
71700,0.334,0.128,0.538
71800,0.352,0.108,0.540
71900,0.340,0.102,0.558
72000,0.348,0.116,0.536
72100,0.354,0.124,0.522
72200,0.370,0.136,0.494
72300,0.356,0.126,0.518
72400,0.342,0.112,0.546
72500,0.364,0.110,0.526
72600,0.364,0.106,0.530
72700,0.366,0.102,0.532
72800,0.368,0.086,0.546
72900,0.396,0.084,0.520
73000,0.400,0.104,0.496
73100,0.388,0.106,0.506
73200,0.398,0.104,0.498
73300,0.408,0.084,0.508
73400,0.406,0.096,0.498
73500,0.392,0.100,0.508
73600,0.370,0.098,0.532
73700,0.356,0.104,0.540
73800,0.352,0.104,0.544
73900,0.348,0.118,0.534
74000,0.356,0.128,0.516
74100,0.378,0.122,0.500
74200,0.390,0.118,0.492
74300,0.384,0.110,0.506
74400,0.426,0.082,0.492
74500,0.406,0.094,0.500
74600,0.406,0.092,0.502
74700,0.392,0.090,0.518
74800,0.402,0.098,0.500
74900,0.414,0.086,0.500
75000,0.404,0.096,0.500
75100,0.400,0.102,0.498
75200,0.400,0.096,0.504
75300,0.404,0.098,0.498
75400,0.382,0.118,0.500
75500,0.380,0.124,0.496
75600,0.358,0.136,0.506
75700,0.356,0.154,0.490
75800,0.342,0.150,0.508
75900,0.348,0.138,0.514
76000,0.322,0.152,0.526
76100,0.324,0.140,0.536
76200,0.304,0.140,0.556
76300,0.302,0.140,0.558
76400,0.308,0.150,0.542
76500,0.296,0.166,0.538
76600,0.312,0.168,0.520
76700,0.314,0.148,0.538
76800,0.316,0.142,0.542
76900,0.300,0.162,0.538
77000,0.322,0.182,0.496
77100,0.334,0.164,0.502
77200,0.352,0.150,0.498
77300,0.388,0.142,0.470
77400,0.366,0.134,0.500
77500,0.378,0.132,0.490
77600,0.354,0.146,0.500
77700,0.374,0.144,0.482
77800,0.364,0.148,0.488
77900,0.336,0.158,0.506
78000,0.310,0.162,0.528
78100,0.312,0.166,0.522
78200,0.338,0.184,0.478
78300,0.302,0.196,0.502
78400,0.286,0.162,0.552
78500,0.278,0.188,0.534
78600,0.260,0.182,0.558
78700,0.268,0.218,0.514
78800,0.306,0.174,0.520
78900,0.316,0.168,0.516
79000,0.294,0.162,0.544
79100,0.300,0.168,0.532
79200,0.280,0.190,0.530
79300,0.284,0.170,0.546
79400,0.284,0.170,0.546
79500,0.288,0.150,0.562
79600,0.284,0.148,0.568
79700,0.274,0.184,0.542
79800,0.276,0.158,0.566
79900,0.282,0.158,0.560
80000,0.290,0.152,0.558
80100,0.324,0.130,0.546
80200,0.310,0.118,0.572
80300,0.312,0.108,0.580
80400,0.320,0.126,0.554
80500,0.300,0.132,0.568
80600,0.296,0.158,0.546
80700,0.310,0.182,0.508
80800,0.342,0.192,0.466
80900,0.354,0.186,0.460
81000,0.316,0.198,0.486
81100,0.318,0.184,0.498
81200,0.314,0.168,0.518
81300,0.316,0.160,0.524
81400,0.312,0.134,0.554
81500,0.304,0.116,0.580
81600,0.334,0.134,0.532
81700,0.316,0.130,0.554
81800,0.330,0.132,0.538
81900,0.316,0.114,0.570
82000,0.330,0.106,0.564
82100,0.328,0.128,0.544
82200,0.340,0.142,0.518
82300,0.362,0.124,0.514
82400,0.334,0.128,0.538
82500,0.324,0.120,0.556
82600,0.326,0.118,0.556
82700,0.302,0.128,0.570
82800,0.304,0.162,0.534
82900,0.294,0.160,0.546
83000,0.308,0.144,0.548
83100,0.296,0.138,0.566
83200,0.308,0.146,0.546
83300,0.322,0.132,0.546
83400,0.340,0.116,0.544
83500,0.326,0.116,0.558
83600,0.328,0.114,0.558
83700,0.314,0.146,0.540
83800,0.304,0.168,0.528
83900,0.304,0.168,0.528
84000,0.338,0.148,0.514
84100,0.320,0.154,0.526
84200,0.316,0.150,0.534
84300,0.310,0.170,0.520
84400,0.320,0.166,0.514
84500,0.324,0.160,0.516
84600,0.314,0.140,0.546
84700,0.296,0.118,0.586
84800,0.258,0.168,0.574
84900,0.282,0.166,0.552
85000,0.274,0.160,0.566
85100,0.274,0.172,0.554
85200,0.268,0.186,0.546
85300,0.292,0.188,0.520
85400,0.324,0.176,0.500
85500,0.304,0.180,0.516
85600,0.288,0.174,0.538
85700,0.294,0.186,0.520
85800,0.312,0.210,0.478
85900,0.328,0.212,0.460
86000,0.354,0.172,0.474
86100,0.348,0.162,0.490
86200,0.350,0.144,0.506
86300,0.336,0.144,0.520
86400,0.340,0.146,0.514
86500,0.350,0.140,0.510
86600,0.356,0.152,0.492
86700,0.332,0.138,0.530
86800,0.320,0.156,0.524
86900,0.352,0.144,0.504
87000,0.340,0.174,0.486
87100,0.334,0.166,0.500
87200,0.334,0.140,0.526
87300,0.322,0.150,0.528
87400,0.350,0.146,0.504
87500,0.328,0.168,0.504
87600,0.316,0.188,0.496
87700,0.286,0.196,0.518
87800,0.316,0.190,0.494
87900,0.358,0.160,0.482
88000,0.332,0.150,0.518
88100,0.324,0.148,0.528
88200,0.328,0.114,0.558
88300,0.306,0.124,0.570
88400,0.328,0.118,0.554
88500,0.330,0.116,0.554
88600,0.358,0.138,0.504
88700,0.354,0.134,0.512
88800,0.338,0.130,0.532
88900,0.340,0.118,0.542
89000,0.346,0.130,0.524
89100,0.368,0.118,0.514
89200,0.362,0.112,0.526
89300,0.328,0.122,0.550
89400,0.350,0.126,0.524
89500,0.332,0.156,0.512
89600,0.344,0.166,0.490
89700,0.334,0.156,0.510
89800,0.336,0.146,0.518
89900,0.336,0.154,0.510
90000,0.318,0.150,0.532
90100,0.288,0.142,0.570
90200,0.306,0.148,0.546
90300,0.322,0.154,0.524
90400,0.320,0.170,0.510
90500,0.318,0.158,0.524
90600,0.292,0.148,0.560
90700,0.290,0.178,0.532
90800,0.290,0.172,0.538
90900,0.274,0.170,0.556
91000,0.270,0.156,0.574
91100,0.270,0.144,0.586
91200,0.278,0.146,0.576
91300,0.286,0.162,0.552
91400,0.292,0.162,0.546
91500,0.304,0.168,0.528
91600,0.314,0.170,0.516
91700,0.308,0.140,0.552
91800,0.324,0.128,0.548
91900,0.340,0.108,0.552
92000,0.342,0.132,0.526
92100,0.378,0.118,0.504
92200,0.400,0.116,0.484
92300,0.396,0.118,0.486
92400,0.392,0.110,0.498
92500,0.358,0.122,0.520
92600,0.370,0.122,0.508
92700,0.348,0.136,0.516
92800,0.352,0.130,0.518
92900,0.356,0.122,0.522
93000,0.354,0.128,0.518
93100,0.362,0.110,0.528
